G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sat Apr 18 2015,3:30p EST,,Box Score,,New Orleans Pelicans,W,,106,99,68,15,W 1,
2,Mon Apr 20 2015,10:30p EST,,Box Score,,New Orleans Pelicans,W,,97,87,69,15,W 2,
3,Thu Apr 23 2015,9:30p EST,,Box Score,@,New Orleans Pelicans,W,OT,123,119,70,15,W 3,
4,Sat Apr 25 2015,8:00p EST,,Box Score,@,New Orleans Pelicans,W,,109,98,71,15,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
5,Sun May 3 2015,3:30p EST,,Box Score,,Memphis Grizzlies,W,,101,86,72,15,W 5,
6,Tue May 5 2015,10:30p EST,,Box Score,,Memphis Grizzlies,L,,90,97,72,16,L 1,
7,Sat May 9 2015,8:00p EST,,Box Score,@,Memphis Grizzlies,L,,89,99,72,17,L 2,
8,Mon May 11 2015,9:30p EST,,Box Score,@,Memphis Grizzlies,W,,101,84,73,17,W 1,
9,Wed May 13 2015,10:30p EST,,Box Score,,Memphis Grizzlies,W,,98,78,74,17,W 2,
10,Fri May 15 2015,9:30p EST,,Box Score,@,Memphis Grizzlies,W,,108,95,75,17,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
11,Tue May 19 2015,9:00p EST,,Box Score,,Houston Rockets,W,,110,106,76,17,W 4,
12,Thu May 21 2015,9:00p EST,,Box Score,,Houston Rockets,W,,99,98,77,17,W 5,
13,Sat May 23 2015,9:00p EST,,Box Score,@,Houston Rockets,W,,115,80,78,17,W 6,
14,Mon May 25 2015,9:00p EST,,Box Score,@,Houston Rockets,L,,115,128,78,18,L 1,
15,Wed May 27 2015,9:00p EST,,Box Score,,Houston Rockets,W,,104,90,79,18,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
16,Thu Jun 4 2015,9:00p EST,,Box Score,,Cleveland Cavaliers,W,OT,108,100,80,18,W 2,
17,Sun Jun 7 2015,8:00p EST,,Box Score,,Cleveland Cavaliers,L,OT,93,95,80,19,L 1,
18,Tue Jun 9 2015,9:00p EST,,Box Score,@,Cleveland Cavaliers,L,,91,96,80,20,L 2,
19,Thu Jun 11 2015,9:00p EST,,Box Score,@,Cleveland Cavaliers,W,,103,82,81,20,W 1,
20,Sun Jun 14 2015,8:00p EST,,Box Score,,Cleveland Cavaliers,W,,104,91,82,20,W 2,
21,Tue Jun 16 2015,9:00p EST,,Box Score,@,Cleveland Cavaliers,W,,105,97,83,20,W 3,
