G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 27 2015,10:30p EST,,Box Score,,New Orleans Pelicans,W,,111,95,1,0,W 1,
2,Fri Oct 30 2015,9:30p EST,,Box Score,@,Houston Rockets,W,,112,92,2,0,W 2,
3,Sat Oct 31 2015,7:30p EST,,Box Score,@,New Orleans Pelicans,W,,134,120,3,0,W 3,
4,Mon Nov 2 2015,10:30p EST,,Box Score,,Memphis Grizzlies,W,,119,69,4,0,W 4,
5,Wed Nov 4 2015,10:30p EST,,Box Score,,Los Angeles Clippers,W,,112,108,5,0,W 5,
6,Fri Nov 6 2015,10:30p EST,,Box Score,,Denver Nuggets,W,,119,104,6,0,W 6,
7,Sat Nov 7 2015,10:00p EST,,Box Score,@,Sacramento Kings,W,,103,94,7,0,W 7,
8,Mon Nov 9 2015,10:30p EST,,Box Score,,Detroit Pistons,W,,109,95,8,0,W 8,
9,Wed Nov 11 2015,8:00p EST,,Box Score,@,Memphis Grizzlies,W,,100,84,9,0,W 9,
10,Thu Nov 12 2015,8:00p EST,,Box Score,@,Minnesota Timberwolves,W,,129,116,10,0,W 10,
11,Sat Nov 14 2015,10:30p EST,,Box Score,,Brooklyn Nets,W,OT,107,99,11,0,W 11,
12,Tue Nov 17 2015,10:30p EST,,Box Score,,Toronto Raptors,W,,115,110,12,0,W 12,
13,Thu Nov 19 2015,10:30p EST,,Box Score,@,Los Angeles Clippers,W,,124,117,13,0,W 13,
14,Fri Nov 20 2015,10:30p EST,,Box Score,,Chicago Bulls,W,,106,94,14,0,W 14,
15,Sun Nov 22 2015,8:00p EST,,Box Score,@,Denver Nuggets,W,,118,105,15,0,W 15,
16,Tue Nov 24 2015,10:30p EST,,Box Score,,Los Angeles Lakers,W,,111,77,16,0,W 16,
17,Fri Nov 27 2015,9:30p EST,,Box Score,@,Phoenix Suns,W,,135,116,17,0,W 17,
18,Sat Nov 28 2015,10:30p EST,,Box Score,,Sacramento Kings,W,,120,101,18,0,W 18,
19,Mon Nov 30 2015,9:00p EST,,Box Score,@,Utah Jazz,W,,106,103,19,0,W 19,
20,Wed Dec 2 2015,7:00p EST,,Box Score,@,Charlotte Hornets,W,,116,99,20,0,W 20,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 5 2015,5:00p EST,,Box Score,@,Toronto Raptors,W,,112,109,21,0,W 21,
22,Sun Dec 6 2015,6:00p EST,,Box Score,@,Brooklyn Nets,W,,114,98,22,0,W 22,
23,Tue Dec 8 2015,7:00p EST,,Box Score,@,Indiana Pacers,W,,131,123,23,0,W 23,
24,Fri Dec 11 2015,7:30p EST,,Box Score,@,Boston Celtics,W,2OT,124,119,24,0,W 24,
25,Sat Dec 12 2015,8:30p EST,,Box Score,@,Milwaukee Bucks,L,,95,108,24,1,L 1,
26,Wed Dec 16 2015,10:30p EST,,Box Score,,Phoenix Suns,W,,128,103,25,1,W 1,
27,Fri Dec 18 2015,10:30p EST,,Box Score,,Milwaukee Bucks,W,,121,112,26,1,W 2,
28,Wed Dec 23 2015,10:30p EST,,Box Score,,Utah Jazz,W,,103,85,27,1,W 3,
29,Fri Dec 25 2015,5:00p EST,,Box Score,,Cleveland Cavaliers,W,,89,83,28,1,W 4,
30,Mon Dec 28 2015,10:30p EST,,Box Score,,Sacramento Kings,W,,122,103,29,1,W 5,
31,Wed Dec 30 2015,8:30p EST,,Box Score,@,Dallas Mavericks,L,,91,114,29,2,L 1,
32,Thu Dec 31 2015,7:00p EST,,Box Score,@,Houston Rockets,W,,114,110,30,2,W 1,
33,Sat Jan 2 2016,10:30p EST,,Box Score,,Denver Nuggets,W,OT,111,108,31,2,W 2,
34,Mon Jan 4 2016,10:30p EST,,Box Score,,Charlotte Hornets,W,,111,101,32,2,W 3,
35,Tue Jan 5 2016,10:30p EST,,Box Score,@,Los Angeles Lakers,W,,109,88,33,2,W 4,
36,Fri Jan 8 2016,10:00p EST,,Box Score,@,Portland Trail Blazers,W,,128,108,34,2,W 5,
37,Sat Jan 9 2016,10:00p EST,,Box Score,@,Sacramento Kings,W,,128,116,35,2,W 6,
38,Mon Jan 11 2016,10:30p EST,,Box Score,,Miami Heat,W,,111,103,36,2,W 7,
