G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sat Apr 18 2015,3:30p EST,,Box Score,,New Orleans Pelicans,W,,106,99,1,0,W 1,
2,Mon Apr 20 2015,10:30p EST,,Box Score,,New Orleans Pelicans,W,,97,87,2,0,W 2,
3,Thu Apr 23 2015,9:30p EST,,Box Score,@,New Orleans Pelicans,W,OT,123,119,3,0,W 3,
4,Sat Apr 25 2015,8:00p EST,,Box Score,@,New Orleans Pelicans,W,,109,98,4,0,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
5,Sun May 3 2015,3:30p EST,,Box Score,,Memphis Grizzlies,W,,101,86,5,0,W 5,
6,Tue May 5 2015,10:30p EST,,Box Score,,Memphis Grizzlies,L,,90,97,5,1,L 1,
7,Sat May 9 2015,8:00p EST,,Box Score,@,Memphis Grizzlies,L,,89,99,5,2,L 2,
8,Mon May 11 2015,9:30p EST,,Box Score,@,Memphis Grizzlies,W,,101,84,6,2,W 1,
9,Wed May 13 2015,10:30p EST,,Box Score,,Memphis Grizzlies,W,,98,78,7,2,W 2,
10,Fri May 15 2015,9:30p EST,,Box Score,@,Memphis Grizzlies,W,,108,95,8,2,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
11,Tue May 19 2015,9:00p EST,,Box Score,,Houston Rockets,W,,110,106,9,2,W 4,
12,Thu May 21 2015,9:00p EST,,Box Score,,Houston Rockets,W,,99,98,10,2,W 5,
13,Sat May 23 2015,9:00p EST,,Box Score,@,Houston Rockets,W,,115,80,11,2,W 6,
14,Mon May 25 2015,9:00p EST,,Box Score,@,Houston Rockets,L,,115,128,11,3,L 1,
15,Wed May 27 2015,9:00p EST,,Box Score,,Houston Rockets,W,,104,90,12,3,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
16,Thu Jun 4 2015,9:00p EST,,Box Score,,Cleveland Cavaliers,W,OT,108,100,13,3,W 2,
17,Sun Jun 7 2015,8:00p EST,,Box Score,,Cleveland Cavaliers,L,OT,93,95,13,4,L 1,
18,Tue Jun 9 2015,9:00p EST,,Box Score,@,Cleveland Cavaliers,L,,91,96,13,5,L 2,
19,Thu Jun 11 2015,9:00p EST,,Box Score,@,Cleveland Cavaliers,W,,103,82,14,5,W 1,
20,Sun Jun 14 2015,8:00p EST,,Box Score,,Cleveland Cavaliers,W,,104,91,15,5,W 2,
21,Tue Jun 16 2015,9:00p EST,,Box Score,@,Cleveland Cavaliers,W,,105,97,16,5,W 3,
